Script Name,Category,Ports Related To,One Line Description
acarsd-info,Information Gathering,113 (Ident),Gathers information from an ACARS decoder server.
address-info,Information Gathering,Varies (depends on query),Retrieves and displays information about a specific IP address or hostname.
afp-brute,Brute Force,548 (AFP),Performs a brute force attack on the Apple Filing Protocol (AFP) authentication.
afp-ls,Information Gathering,548 (AFP),Lists files or directories available on an AFP server.
afp-path-vuln,Vulnerability,548 (AFP),Checks for known path vulnerabilities in the AFP service.
afp-serverinfo,Information Gathering,548 (AFP),Retrieves and displays information about an AFP server.
afp-showmount,Information Gathering,548 (AFP),Displays the exported file systems from an AFP server.
ajp-auth,Brute Force,8009 (AJP),Attempts to brute force authentication on an Apache JServ Protocol (AJP) server.
ajp-brute,Brute Force,8009 (AJP),Performs a brute force attack against an AJP (Apache JServ Protocol) server.
ajp-headers,Information Gathering,8009 (AJP),Retrieves and displays the headers from an AJP server.
ajp-methods,Information Gathering,8009 (AJP),Enumerates supported HTTP methods on an AJP server.
ajp-request,Information Gathering,8009 (AJP),Sends crafted requests to an AJP server to identify potential weaknesses.
allseeingeye-info,Information Gathering,Varies (common ports),Gathers information from an All Seeing Eye (ASE) server.
amqp-info,Information Gathering,5672 (AMQP),Retrieves information about an AMQP (Advanced Message Queuing Protocol) server.
asn-query,Information Gathering,"Varies (DNS, WHOIS)",Performs an ASN (Autonomous System Number) query to gather network-related information.
auth-owners,Information Gathering,Varies (common ports),Gathers information about authentication owners or users.
auth-spoof,Spoofing,Varies (common ports),Spoofs authentication information to bypass security checks.
backorifice-brute,Brute Force,31337 (Back Orifice),Performs a brute force attack on the Back Orifice remote administration tool.
backorifice-info,Information Gathering,31337 (Back Orifice),Gathers information from a Back Orifice server.
bacnet-info,Information Gathering,47808 (BACnet),Retrieves information from a BACnet (Building Automation and Control Network) device.
banner,Information Gathering,Varies (depends on service),Retrieves banner information from a service to identify the software version and other details.
bitcoin-getaddr,Information Gathering,8333 (Bitcoin),Gathers Bitcoin node address information via the "getaddr" RPC command.
bitcoin-info,Information Gathering,8333 (Bitcoin),"Retrieves information about a Bitcoin node, including block and network status."
bitcoinrpc-info,Information Gathering,8332 (Bitcoin RPC),"Retrieves information from a Bitcoin RPC server, including blockchain and wallet data."
bittorrent-discovery,Information Gathering,6881-6889 (BitTorrent),Discovers peers and trackers in a BitTorrent network.
bjnp-discover,Information Gathering,8612 (BJNP),Detects devices using the Brother Jet Network Protocol (BJNP).
broadcast-ataoe-discover,Information Gathering,2002 (ATAoE),Discovers ATA over Ethernet (ATAoE) devices on the network.
broadcast-avahi-dos,DoS Attack,5353 (Avahi),Initiates a DoS attack targeting the Avahi service for local network service discovery.
broadcast-bjnp-discover,Information Gathering,8612 (BJNP),Discovers Brother devices using the BJNP protocol.
broadcast-db2-discover,Information Gathering,523 (DB2),Discovers IBM DB2 database servers on the network.
broadcast-dhcp-discover,Information Gathering,67-68 (DHCP),Broadcasts a DHCP request to discover available DHCP servers on the network.
broadcast-dhcp6-discover,Information Gathering,547 (DHCPv6),Broadcasts a DHCPv6 request to discover available DHCPv6 servers on the network.
broadcast-dns-service-discovery,Information Gathering,53 (DNS),Discovers DNS service information via mDNS or DNS-SD.
broadcast-dropbox-listener,Information Gathering,17500 (Dropbox),Discovers Dropbox listeners for file synchronization.
broadcast-eigrp-discovery,Information Gathering,88 (EIGRP),Discovers EIGRP (Enhanced Interior Gateway Routing Protocol) neighbors on the network.
broadcast-hid-discoveryd,Information Gathering,1-1024 (varies by service),Discovers Human Interface Devices (HID) on a network.
broadcast-igmp-discovery,Information Gathering,224.0.0.1 (IGMP),Discovers IGMP (Internet Group Management Protocol) listeners and routers.
broadcast-jenkins-discover,Information Gathering,8080 (Jenkins),Discovers Jenkins servers running on the network.
broadcast-listener,Information Gathering,Varies (depends on service),Listens for broadcasts from various network services.
broadcast-ms-sql-discover,Information Gathering,1433-1434 (MSSQL),Discovers Microsoft SQL Server instances on the network.
broadcast-netbios-master-browser,Information Gathering,137-139 (NetBIOS),Discovers the master browser for NetBIOS services on the network.
broadcast-networker-discover,Information Gathering,10000 (Networker),Discovers EMC Networker backup servers on the network.
broadcast-novell-locate,Information Gathering,524 (Novell),Discovers Novell NetWare servers on the network.
broadcast-ospf2-discover,Information Gathering,89 (OSPF),Discovers OSPF (Open Shortest Path First) routers on the network.
broadcast-pc-anywhere,Information Gathering,5631 (PCAnywhere),Discovers PCAnywhere servers available for remote desktop management.
broadcast-pc-duo,Information Gathering,8040 (PC-Duo),Discovers PC-Duo servers for remote access on the network.
broadcast-pim-discovery,Information Gathering,103 (PIM),Discovers PIM (Protocol Independent Multicast) routers on the network.
broadcast-ping,Information Gathering,Varies (ICMP),Sends broadcast ping requests to discover active hosts on the network.
broadcast-pppoe-discover,Information Gathering,5060 (PPPoE),Discovers PPPoE (Point-to-Point Protocol over Ethernet) servers on the network.
broadcast-rip-discover,Information Gathering,520 (RIP),Discovers RIP (Routing Information Protocol) routers on the network.
broadcast-ripng-discover,Information Gathering,521 (RIPng),Discovers RIPng (Routing Information Protocol next generation) routers on the network.
broadcast-sonicwall-discover,Information Gathering,443 (SonicWall),Discovers SonicWall devices available on the network.
broadcast-sybase-asa-discover,Information Gathering,5000 (Sybase ASA),Discovers Sybase Adaptive Server Anywhere (ASA) instances on the network.
broadcast-tellstick-discover,Information Gathering,17600 (TellStick),Discovers TellStick devices for home automation systems.
broadcast-upnp-info,Information Gathering,1900 (UPnP),Discovers UPnP (Universal Plug and Play) devices on the network.
broadcast-versant-locate,Information Gathering,8400 (Versant),Discovers Versant Object Database servers on the network.
broadcast-wake-on-lan,Information Gathering,9 (WOL),Broadcasts Wake-on-LAN packets to wake up computers on the network.
broadcast-wpad-discover,Information Gathering,80 (WPAD),Discovers Web Proxy Autodiscovery Protocol (WPAD) servers on the network.
broadcast-wsdd-discover,Information Gathering,5357 (WSD),Discovers Web Services Dynamic Discovery (WSD) devices on the network.
broadcast-xdmcp-discover,Information Gathering,177 (XDMCP),Discovers XDMCP (X Display Manager Control Protocol) servers for remote desktop access.
cassandra-brute,Brute Force,9042 (Cassandra),Performs a brute force attack against the Cassandra NoSQL database's authentication.
cassandra-info,Information Gathering,9042 (Cassandra),Gathers information about a Cassandra NoSQL database instance.
cccam-version,Information Gathering,12000 (CCCam),Retrieves version information from a CCCam server (used for satellite TV sharing).
cics-enum,Information Gathering,102 (CICS),Enumerates CICS (Customer Information Control System) resources and services.
cics-info,Information Gathering,102 (CICS),Retrieves detailed information about CICS systems.
cics-user-brute,Brute Force,102 (CICS),Performs a brute force attack against CICS system user credentials.
cics-user-enum,Information Gathering,102 (CICS),Enumerates user accounts from a CICS system.
citrix-brute-xml,Brute Force,1494 (Citrix),Brute forces authentication to a Citrix server using XML-based requests.
citrix-enum-apps,Information Gathering,1494 (Citrix),Enumerates applications available on a Citrix server.
citrix-enum-apps-xml,Information Gathering,1494 (Citrix),Retrieves available Citrix applications via XML requests.
citrix-enum-servers,Information Gathering,1494 (Citrix),Enumerates Citrix servers available in a network.
citrix-enum-servers-xml,Information Gathering,1494 (Citrix),Retrieves Citrix server details using XML queries.
clamav-exec,Information Gathering,3310 (ClamAV),Executes a query on a ClamAV antivirus server to retrieve its version and status.
clock-skew,Information Gathering,Varies (NTP or similar),Checks for time discrepancies (clock skew) between a server and its clients.
